ID,Task Name,Phase,Status,Duration (sessions),Predecessors,Priority,Owner,Backend/API/DB,Portal,Device/KSO,Acceptance Criteria,Risk,Blocked by scanner
A.1,TZ v2.5 Gap Analysis,A — Re-Alignment,DONE,1,,P0,Hermes,docs only,docs only,no,"Gap analysis doc created, deviations listed, stop/go decision","Low","no"
A.2,ERD/API/Event Contracts v2.5,A — Re-Alignment,NOT STARTED,2,A.1,P0,Hermes,"ERD v2.5, API contracts doc, event schema",none,no,"Contracts documented in /docs/architecture/, no contradictions with TZ","Low","no"
A.3,KSO Data Migration,A — Re-Alignment,NOT STARTED,2,A.2,P0,Hermes,"Migration kso_devices→physical_devices, dry-run, backup","Update device listing",no,"KSO data migrated to universal model, old tables dropped","Medium","no"
B.1,Channel Registry Cleanup,B — Multichannel Core,NOT STARTED,2,A.3,P0,Hermes,"Remove KSO duplicates, seed 5 channels","Channel list in admin",no,"All 5 channels in channels table, no kso_* references in business logic","Medium","no"
B.2,Device Model Unification,B — Multichannel Core,NOT STARTED,2,B.1,P0,Hermes,"physical_devices as single model, logical_carriers, display_surfaces","Device management page",no,"Unified device model, capability profiles per device_type","High","no"
B.3,Placement Entity,B — Multichannel Core,NOT STARTED,2,B.2,P0,Hermes,"Placement as separate entity: where/when/how/channel","Campaign→Placement UI","no","Campaign 1→N Placements, Placement linked to surfaces via Orchestrator","Medium","no"
B.4,Channel Orchestrator Skeleton,B — Multichannel Core,NOT STARTED,3,B.3,P0,Hermes,"Orchestrator service, simulation, AdapterContract","Publication page uses Orchestrator","no","Mock adapter runs, manifest generated, simulation shows conflicts","High","no"
B.5,Universal Manifest Schema v1,B — Multichannel Core,NOT STARTED,2,B.4,P0,Hermes,"Manifest schema: core+adapter_payload, HMAC sign, versioning","Manifest preview in portal","no","Manifest validated, signed, versioned, compatible with capability profiles","High","no"
C.1,Device Registration,C — Device Gateway,NOT STARTED,2,B.5,P1,Hermes,"POST /device/register, device_code+fingerprint, credentials","Device registration UI","mock device","Device registered, credentials issued, linked to store","Medium","no"
C.2,Device Auth & Heartbeat,C — Device Gateway,NOT STARTED,2,C.1,P1,Hermes,"Device auth, POST /device/heartbeat, status tracking","Device health dashboard","mock heartbeat","Heartbeat received, status: online/offline/degraded/error","Medium","no"
C.3,Manifest Pull (ETag/304),C — Device Gateway,NOT STARTED,2,C.2,P1,Hermes,"GET /device/manifest, ETag/304, compatibility check","Manifest delivery status","mock pull","Manifest delivered, 304 for unchanged, compatibility enforced","Medium","no"
C.4,PoP Ingestion (Batch),C — Device Gateway,NOT STARTED,2,C.3,P1,Hermes,"POST /device/pop/batch, idempotency, signature validation","PoP events view","mock PoP","Batch PoP accepted, deduplicated, validated, written to ClickHouse","High","no"
C.5,ClickHouse Setup,C — Device Gateway,NOT STARTED,1,C.4,P1,Hermes,"ClickHouse tables: pop_events, heartbeats, errors, aggregates","Analytics data source","no","ClickHouse running, TTL configured, aggregates built","Medium","no"
D.1,Inventory Rules Engine,D — Inventory,NOT STARTED,2,B.4,P1,Hermes,"Capacity rules per channel, free/occupied/reserved/sold","Inventory dashboard","no","Inventory calculated per channel+surface, forecast available","Medium","no"
D.2,Conflict Engine,D — Inventory,NOT STARTED,2,D.1,P1,Hermes,"Schedule intersection, ad load limits, priority displacement","Conflict warnings in campaign create","no","Conflicts detected, shown to user, overbooking policy enforced","Medium","no"
D.3,Simulated Publication,D — Inventory,NOT STARTED,1,D.2,P1,Hermes,"What-if before publish, sold-out alternatives","Simulation result page","no","Simulation shows: stores, impressions, conflicts, alternatives","Medium","no"
E.1,KSO Adapter,E — KSO Channel,NOT STARTED,2,B.5,P1,Hermes,"KsoAdapter: mTLS/token, ETag, cache, hidden-on-touch","KSO adapter status","mock KSO","Adapter delivers manifest, receives PoP, handles touch events","Medium","no"
E.2,KSO Chromium Runtime,E — KSO Channel,NOT STARTED,2,E.1,P1,Hermes,"systemd wrapper, Chromium kiosk 1440×1080, cache, fallback",,physical KSO,"KSO boots, fetches manifest, plays ads, hides on touch","High","yes"
F.1,Normalized Proof Model,F — Analytics,NOT STARTED,2,C.4,P2,Hermes,"Single proof_events table, proof_type enum, real vs delivery ack","PoP analytics view","no","All proof types supported, plan/fact separated","Medium","no"
F.2,Campaign Dashboard,F — Analytics,NOT STARTED,2,F.1,P2,Hermes,"Plan/fact, geography, daily/hourly dynamics, underdelivery","Campaign dashboard page","no","Dashboard shows delivery metrics with reasons","Medium","no"
F.3,Advertiser Portal,F — Analytics,NOT STARTED,2,F.2,P2,Hermes,"Read-only: campaigns, reports, export PDF/XLSX/CSV","Advertiser login + portal","no","Advertiser sees own campaigns, downloads reports, no tech noise","Medium","no"
G.1,Emergency Management,G — Emergency,NOT STARTED,2,C.3,P2,Hermes,"Stop ads, emergency message, resume, audit, delivery progress","Emergency control panel","mock","Emergency command delivered, audited, progress tracked","Medium","no"
G.2,Operational Health Center,G — Operations,NOT STARTED,2,C.5,P2,Hermes,"Device health, errors, versions, manifest status, alerts","Operations dashboard","no","Health dashboard with drill-down to device level","Medium","no"
G.3,Staged Rollout,G — Operations,NOT STARTED,2,G.1,P2,Hermes,"Lab→5→50→300→10%→50%→all, auto-stop, rollback","Rollout control panel","no","Rollout staged, error threshold enforced, rollback works","Medium","no"
H.1,HA & Backups,H — Production,NOT STARTED,2,G.3,P3,Hermes,"PG standby, backup/restore drill, ClickHouse replication",,,"RTO<4h, RPO<15min, restore tested","High","no"
H.2,Load Testing,H — Production,NOT STARTED,2,H.1,P3,Hermes,"40K devices profile, mass publish, analytics profile",,,"All profiles pass with target response times","High","no"
H.3,Monitoring & Alerts,H — Production,NOT STARTED,2,H.2,P3,Hermes,"Prometheus/Grafana, correlation IDs, alert rules","Monitoring dashboards",,"Metrics collected, alerts fired, trace_id propagated","Medium","no"
